GEO ID,State,State Abbreviation,County,Percent Living in Poverty,Percent High School Education,Median Household Income,Gini Coefficient,Percent Uninsured,Percent Unemployed,Percent Living with Severe Housing Cost Burden,Syphilis Rate
1001,Alabama,AL,Autauga County,11.2,88.7,67565,0.4552,10.6,5.4,13.8,11
1003,Alabama,AL,Baldwin County,8.9,90.5,71135,0.4566,10.9,6.2,11.5,5
1005,Alabama,AL,Barbour County,25.5,74.7,38866,0.5047,14.4,7.8,12.4,8
1007,Alabama,AL,Bibb County,17.8,80.9,50907,0.45,13,7.3,9.4,0
1009,Alabama,AL,Blount County,13.1,82.8,55203,0.4685,13.3,4.6,8.8,0
1011,Alabama,AL,Bullock County,30.8,74.9,33124,0.4985,12.4,6,12.8,0
1013,Alabama,AL,Butler County,20.6,86.4,42268,0.4667,13.5,9.6,10.8,5
1015,Alabama,AL,Calhoun County,14.5,85.1,50259,0.4581,12.9,7.8,9.7,2
1017,Alabama,AL,Chambers County,16.3,82.6,39318,0.4182,13.2,7.5,9.8,12
1019,Alabama,AL,Cherokee County,14.7,82.8,50388,0.4596,12.8,5.1,6.5,0
1021,Alabama,AL,Chilton County,13.9,81.8,52693,0.4603,15.3,5.5,10.4,5
1023,Alabama,AL,Choctaw County,20.4,82.7,41649,0.4534,12.7,7.4,6.5,0
1025,Alabama,AL,Clarke County,19.5,82.6,44178,0.5303,13.7,9.9,11.4,17
1027,Alabama,AL,Clay County,14.2,81.3,44763,0.4848,14.4,4.5,6.7,8
1029,Alabama,AL,Cleburne County,14.2,82.2,50134,0.4638,13.5,5.1,7.3,0
1031,Alabama,AL,Coffee County,13.9,85.6,54203,0.431,13.7,4.9,10.1,8
1033,Alabama,AL,Colbert County,14.4,85.7,54185,0.4352,10.5,7.3,10.3,25
1035,Alabama,AL,Conecuh County,22.9,85,34664,0.4392,11.4,8,7.7,17
1037,Alabama,AL,Coosa County,17.4,83.2,46509,0.4291,11.7,6.1,5.6,9
1039,Alabama,AL,Covington County,17.1,85.3,43544,0.4786,12.1,5.5,9.9,8
