county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020"
Autauga,Alabama,255
Baldwin,Alabama,315
Barbour,Alabama,734
Bibb,Alabama,422
Blount,Alabama,158
Bullock,Alabama,931
Butler,Alabama,355
Calhoun,Alabama,374
Chambers,Alabama,686
Cherokee,Alabama,228
Chilton,Alabama,281
Choctaw,Alabama,453
Clarke,Alabama,446
Clay,Alabama,402
Cleburne,Alabama,-1
Coffee,Alabama,230
Colbert,Alabama,272
Conecuh,Alabama,420
Coosa,Alabama,-1
Covington,Alabama,402
Crenshaw,Alabama,356
Cullman,Alabama,188
Dale,Alabama,655
Dallas,Alabama,801
DeKalb,Alabama,182
Elmore,Alabama,494
Escambia,Alabama,458
Etowah,Alabama,421
Fayette,Alabama,-1
Franklin,Alabama,271
Geneva,Alabama,378
Greene,Alabama,-1
Hale,Alabama,826
Henry,Alabama,690
Houston,Alabama,758
Jackson,Alabama,249
Jefferson,Alabama,1124
Lamar,Alabama,455
Lauderdale,Alabama,207
Lawrence,Alabama,-1
Lee,Alabama,363
Limestone,Alabama,174
Lowndes,Alabama,1338
Macon,Alabama,628
Madison,Alabama,392
Marengo,Alabama,342
Marion,Alabama,273
Marshall,Alabama,305
Mobile,Alabama,959
Monroe,Alabama,427
Montgomery,Alabama,1360
Morgan,Alabama,260
Perry,Alabama,748
Pickens,Alabama,474
Pike,Alabama,780
Randolph,Alabama,-1
Russell,Alabama,722
Shelby,Alabama,282
St. Clair,Alabama,264
Sumter,Alabama,965
Talladega,Alabama,523
Tallapoosa,Alabama,412
Tuscaloosa,Alabama,425
Walker,Alabama,238
Washington,Alabama,239
Wilcox,Alabama,-1
Winston,Alabama,-1
Aleutians East,Alaska,-4
Aleutians West,Alaska,-4
Anchorage,Alaska,-4
Bethel,Alaska,-4
Bristol Bay,Alaska,-4
Chugach,Alaska,-4
Copper River,Alaska,-4
Denali,Alaska,-4
Dillingham,Alaska,-4
Fairbanks North Star,Alaska,-4
Haines,Alaska,-4
Hoonah-Angoon,Alaska,-4
Juneau,Alaska,-4
Kenai Peninsula,Alaska,-4
Ketchikan Gateway,Alaska,-4
Kodiak Island,Alaska,-4
Kusilvak,Alaska,-4
Lake and Peninsula,Alaska,-4
Matanuska-Susitna,Alaska,-4
Nome,Alaska,-4
North Slope,Alaska,-4
Northwest Arctic,Alaska,-4
Petersburg,Alaska,-4
Prince of Wales-Hyder,Alaska,-4
Sitka,Alaska,-4
Skagway,Alaska,-4
Southeast Fairbanks,Alaska,-4
Wrangell,Alaska,-4
Yakutat,Alaska,-4
Yukon-Koyukuk,Alaska,-4
Apache,Arizona,388
Cochise,Arizona,421
Coconino,Arizona,229
Gila,Arizona,285
Graham,Arizona,239
Greenlee,Arizona,0
La Paz,Arizona,-1
Maricopa,Arizona,533
Mohave,Arizona,285
Navajo,Arizona,291
Pima,Arizona,546
Pinal,Arizona,590
Santa Cruz,Arizona,228
Yavapai,Arizona,322
Yuma,Arizona,304
Arkansas,Arkansas,431
Ashley,Arkansas,246
Baxter,Arkansas,199
Benton,Arkansas,204
Boone,Arkansas,176
Bradley,Arkansas,-1
Calhoun,Arkansas,0
Carroll,Arkansas,314
Chicot,Arkansas,505
Clark,Arkansas,456
Clay,Arkansas,-1
Cleburne,Arkansas,-1
Cleveland,Arkansas,-1
Columbia,Arkansas,325
Conway,Arkansas,-1
Craighead,Arkansas,377
Crawford,Arkansas,138
Crittenden,Arkansas,1109
Cross,Arkansas,544
Dallas,Arkansas,-1
Desha,Arkansas,-1
Drew,Arkansas,259
Faulkner,Arkansas,249
Franklin,Arkansas,-1
Fulton,Arkansas,-1
Garland,Arkansas,463
Grant,Arkansas,212
Greene,Arkansas,136
Hempstead,Arkansas,333
Hot Spring,Arkansas,232
Howard,Arkansas,-1
Independence,Arkansas,262
Izard,Arkansas,-1
Jackson,Arkansas,449
Jefferson,Arkansas,1001
Johnson,Arkansas,-1
Lafayette,Arkansas,-1
Lawrence,Arkansas,-1
Lee,Arkansas,992
Lincoln,Arkansas,804
Little River,Arkansas,463
Logan,Arkansas,-1
Lonoke,Arkansas,181
Madison,Arkansas,-1
Marion,Arkansas,377
Miller,Arkansas,503
Mississippi,Arkansas,304
Monroe,Arkansas,664
Montgomery,Arkansas,0
Nevada,Arkansas,480
Newton,Arkansas,-1
Ouachita,Arkansas,371
Perry,Arkansas,-1
Phillips,Arkansas,762
Pike,Arkansas,-1
Poinsett,Arkansas,-1
Polk,Arkansas,256
Pope,Arkansas,109
Prairie,Arkansas,507
Pulaski,Arkansas,961
Randolph,Arkansas,-1
Saline,Arkansas,207
Scott,Arkansas,-1
Searcy,Arkansas,-1
Sebastian,Arkansas,459
Sevier,Arkansas,-1
Sharp,Arkansas,-1
St. Francis,Arkansas,940
Stone,Arkansas,-1
Union,Arkansas,555
Van Buren,Arkansas,-1
Washington,Arkansas,372
White,Arkansas,209
Woodruff,Arkansas,-1
Yell,Arkansas,227
Alameda,California,669
Alpine,California,-2
Amador,California,-2
Butte,California,314
Calaveras,California,-2
Colusa,California,-2
Contra Costa,California,398
Del Norte,California,-2
El Dorado,California,208
Fresno,California,411
Glenn,California,-2
Humboldt,California,311
Imperial,California,525
Inyo,California,-2
Kern,California,457
Kings,California,311
Lake,California,432
Lassen,California,-2
Los Angeles,California,985
Madera,California,271
Marin,California,465
Mariposa,California,-2
Mendocino,California,367
Merced,California,234
Modoc,California,-2
Mono,California,-2
Monterey,California,414
Napa,California,377
Nevada,California,293
Orange,California,426
Placer,California,148
Plumas,California,-2
Riverside,California,670
Sacramento,California,574
San Benito,California,151
San Bernardino,California,439
San Diego,California,854
San Francisco,California,2626
San Joaquin,California,398
San Luis Obispo,California,306
San Mateo,California,384
Santa Barbara,California,304
Santa Clara,California,352
Santa Cruz,California,404
Shasta,California,184
Sierra,California,-2
Siskiyou,California,-2
Solano,California,516
Sonoma,California,440
Stanislaus,California,343
Sutter,California,230
Tehama,California,128
Trinity,California,-2
Tulare,California,205
Tuolumne,California,-2
Ventura,California,219
Yolo,California,275
Yuba,California,354
Adams,Colorado,434
Alamosa,Colorado,668
Arapahoe,Colorado,500
Archuleta,Colorado,-1
Baca,Colorado,-1
Bent,Colorado,-1
Boulder,Colorado,259
Broomfield,Colorado,-1
Chaffee,Colorado,-1
Cheyenne,Colorado,-1
Clear Creek,Colorado,426
Conejos,Colorado,-1
Costilla,Colorado,-1
Crowley,Colorado,-1
Custer,Colorado,0
Delta,Colorado,-1
Denver,Colorado,1392
Dolores,Colorado,-1
Douglas,Colorado,129
Eagle,Colorado,234
El Paso,Colorado,292
Elbert,Colorado,126
Fremont,Colorado,640
Garfield,Colorado,188
Gilpin,Colorado,0
Grand,Colorado,-1
Gunnison,Colorado,-1
Hinsdale,Colorado,-1
Huerfano,Colorado,-1
Jackson,Colorado,0
Jefferson,Colorado,310
Kiowa,Colorado,0
Kit Carson,Colorado,-1
La Plata,Colorado,131
Lake,Colorado,-1
Larimer,Colorado,188
Las Animas,Colorado,386
Lincoln,Colorado,904
Logan,Colorado,319
Mesa,Colorado,217
Mineral,Colorado,-1
Moffat,Colorado,-1
Montezuma,Colorado,-1
Montrose,Colorado,169
Morgan,Colorado,347
Otero,Colorado,-1
Ouray,Colorado,-1
Park,Colorado,-1
Phillips,Colorado,0
Pitkin,Colorado,189
Prowers,Colorado,-1
Pueblo,Colorado,347
Rio Blanco,Colorado,-1
Rio Grande,Colorado,-1
Routt,Colorado,252
Saguache,Colorado,-1
San Juan,Colorado,-1
San Miguel,Colorado,-1
Sedgwick,Colorado,-1
Summit,Colorado,387
Teller,Colorado,-1
Washington,Colorado,-1
Weld,Colorado,156
Yuma,Colorado,-1
Fairfield,Connecticut,520
Hartford,Connecticut,666
Litchfield,Connecticut,224
Middlesex,Connecticut,305
