county,state,"Rates of Persons, aged 55+, Living with HIV, 2020"
Autauga,Alabama,261
Baldwin,Alabama,154
Barbour,Alabama,-1
Bibb,Alabama,-1
Blount,Alabama,-1
Bullock,Alabama,-1
Butler,Alabama,-1
Calhoun,Alabama,211
Chambers,Alabama,-1
Cherokee,Alabama,-1
Chilton,Alabama,-1
Choctaw,Alabama,162
Clarke,Alabama,146
Clay,Alabama,105
Cleburne,Alabama,158
Coffee,Alabama,-1
Colbert,Alabama,-1
Conecuh,Alabama,237
Coosa,Alabama,244
Covington,Alabama,-1
Crenshaw,Alabama,-1
Cullman,Alabama,-1
Dale,Alabama,-1
Dallas,Alabama,419
DeKalb,Alabama,-1
Elmore,Alabama,216
Escambia,Alabama,-1
Etowah,Alabama,168
Fayette,Alabama,-1
Franklin,Alabama,64
Geneva,Alabama,214
Greene,Alabama,-1
Hale,Alabama,431
Henry,Alabama,-1
Houston,Alabama,-1
Jackson,Alabama,-1
Jefferson,Alabama,675
Lamar,Alabama,139
Lauderdale,Alabama,96
Lawrence,Alabama,80
Lee,Alabama,217
Limestone,Alabama,123
Lowndes,Alabama,-1
Macon,Alabama,761
Madison,Alabama,188
Marengo,Alabama,156
Marion,Alabama,-1
Marshall,Alabama,-1
Mobile,Alabama,534
Monroe,Alabama,173
Montgomery,Alabama,736
Morgan,Alabama,-1
Perry,Alabama,272
Pickens,Alabama,-1
Pike,Alabama,384
Randolph,Alabama,60
Russell,Alabama,335
Shelby,Alabama,168
St. Clair,Alabama,-1
Sumter,Alabama,-1
Talladega,Alabama,172
Tallapoosa,Alabama,-1
Tuscaloosa,Alabama,277
Walker,Alabama,-1
Washington,Alabama,-1
Wilcox,Alabama,-1
Winston,Alabama,-1
Aleutians East,Alaska,-4
Aleutians West,Alaska,-4
Anchorage,Alaska,-4
Bethel,Alaska,-4
Bristol Bay,Alaska,-4
Chugach,Alaska,-4
Copper River,Alaska,-4
Denali,Alaska,-4
Dillingham,Alaska,-4
Fairbanks North Star,Alaska,-4
Haines,Alaska,-4
Hoonah-Angoon,Alaska,-4
Juneau,Alaska,-4
Kenai Peninsula,Alaska,-4
Ketchikan Gateway,Alaska,-4
Kodiak Island,Alaska,-4
Kusilvak,Alaska,-4
Lake and Peninsula,Alaska,-4
Matanuska-Susitna,Alaska,-4
Nome,Alaska,-4
North Slope,Alaska,-4
Northwest Arctic,Alaska,-4
Petersburg,Alaska,-4
Prince of Wales-Hyder,Alaska,-4
Sitka,Alaska,-4
Skagway,Alaska,-4
Southeast Fairbanks,Alaska,-4
Wrangell,Alaska,-4
Yakutat,Alaska,-4
Yukon-Koyukuk,Alaska,-4
Apache,Arizona,-1
Cochise,Arizona,233
Coconino,Arizona,168
Gila,Arizona,68
Graham,Arizona,-1
Greenlee,Arizona,-1
La Paz,Arizona,112
Maricopa,Arizona,338
Mohave,Arizona,128
Navajo,Arizona,-1
Pima,Arizona,368
Pinal,Arizona,187
Santa Cruz,Arizona,-1
Yavapai,Arizona,-1
Yuma,Arizona,164
Arkansas,Arkansas,-1
Ashley,Arkansas,116
Baxter,Arkansas,-1
Benton,Arkansas,162
Boone,Arkansas,83
Bradley,Arkansas,144
Calhoun,Arkansas,256
Carroll,Arkansas,265
Chicot,Arkansas,-1
Clark,Arkansas,126
Clay,Arkansas,-1
Cleburne,Arkansas,92
Cleveland,Arkansas,-1
Columbia,Arkansas,-1
Conway,Arkansas,190
Craighead,Arkansas,146
Crawford,Arkansas,-1
Crittenden,Arkansas,-1
Cross,Arkansas,189
Dallas,Arkansas,-1
Desha,Arkansas,185
Drew,Arkansas,-1
Faulkner,Arkansas,135
Franklin,Arkansas,-1
Fulton,Arkansas,-1
Garland,Arkansas,-1
Grant,Arkansas,116
Greene,Arkansas,-1
Hempstead,Arkansas,85
Hot Spring,Arkansas,-1
Howard,Arkansas,-1
Independence,Arkansas,-1
Izard,Arkansas,124
Jackson,Arkansas,-1
Jefferson,Arkansas,408
Johnson,Arkansas,74
Lafayette,Arkansas,-1
Lawrence,Arkansas,110
Lee,Arkansas,-1
Lincoln,Arkansas,275
Little River,Arkansas,138
Logan,Arkansas,79
Lonoke,Arkansas,-1
Madison,Arkansas,87
Marion,Arkansas,-1
Miller,Arkansas,303
Mississippi,Arkansas,-1
Monroe,Arkansas,304
Montgomery,Arkansas,-1
Nevada,Arkansas,-1
Newton,Arkansas,-1
Ouachita,Arkansas,352
Perry,Arkansas,-1
Phillips,Arkansas,-1
Pike,Arkansas,-1
Poinsett,Arkansas,94
Polk,Arkansas,-1
Pope,Arkansas,-1
Prairie,Arkansas,-1
Pulaski,Arkansas,549
Randolph,Arkansas,101
Saline,Arkansas,91
Scott,Arkansas,0
Searcy,Arkansas,-1
Sebastian,Arkansas,187
Sevier,Arkansas,154
Sharp,Arkansas,83
St. Francis,Arkansas,-1
Stone,Arkansas,-1
Union,Arkansas,-1
Van Buren,Arkansas,-1
Washington,Arkansas,232
White,Arkansas,-1
Woodruff,Arkansas,247
Yell,Arkansas,-1
Alameda,California,584
Alpine,California,-2
Amador,California,-2
Butte,California,-1
Calaveras,California,-2
Colusa,California,-2
Contra Costa,California,341
Del Norte,California,-2
El Dorado,California,149
Fresno,California,312
Glenn,California,-2
Humboldt,California,234
Imperial,California,282
Inyo,California,-2
Kern,California,310
Kings,California,190
Lake,California,-1
Lassen,California,-2
Los Angeles,California,697
Madera,California,196
Marin,California,421
Mariposa,California,-2
Mendocino,California,-1
Merced,California,174
Modoc,California,-2
Mono,California,-2
Monterey,California,272
Napa,California,308
Nevada,California,-1
Orange,California,282
Placer,California,126
Plumas,California,-2
Riverside,California,832
Sacramento,California,445
San Benito,California,159
San Bernardino,California,313
San Diego,California,630
San Francisco,California,2427
San Joaquin,California,266
San Luis Obispo,California,190
San Mateo,California,324
Santa Barbara,California,211
Santa Clara,California,250
Santa Cruz,California,288
Shasta,California,171
Sierra,California,-2
Siskiyou,California,-2
Solano,California,453
Sonoma,California,500
Stanislaus,California,222
Sutter,California,-1
Tehama,California,104
Trinity,California,-2
Tulare,California,141
Tuolumne,California,-2
