,county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020","Rates of Persons, aged 55+, Living with HIV, 2020",HIV aged 45+
0,Autauga,Alabama,255.0,261.0,259.2
1,Baldwin,Alabama,315.0,154.0,202.3
2,Barbour,Alabama,734.0,0.0,220.2
3,Bibb,Alabama,422.0,0.0,126.6
4,Blount,Alabama,158.0,0.0,47.4
5,Bullock,Alabama,931.0,0.0,279.3
6,Butler,Alabama,355.0,0.0,106.5
7,Calhoun,Alabama,374.0,211.0,259.9
8,Chambers,Alabama,686.0,0.0,205.79999999999998
9,Cherokee,Alabama,228.0,0.0,68.39999999999999
10,Chilton,Alabama,281.0,0.0,84.3
11,Choctaw,Alabama,453.0,162.0,249.3
12,Clarke,Alabama,446.0,146.0,235.99999999999997
13,Clay,Alabama,402.0,105.0,194.1
14,Cleburne,Alabama,0.0,158.0,110.6
15,Coffee,Alabama,230.0,0.0,69.0
16,Colbert,Alabama,272.0,0.0,81.6
17,Conecuh,Alabama,420.0,237.0,291.9
18,Coosa,Alabama,0.0,244.0,170.79999999999998
19,Covington,Alabama,402.0,0.0,120.6
20,Crenshaw,Alabama,356.0,0.0,106.8
21,Cullman,Alabama,188.0,0.0,56.4
22,Dale,Alabama,655.0,0.0,196.5
23,Dallas,Alabama,801.0,419.0,533.5999999999999
24,DeKalb,Alabama,182.0,0.0,54.6
25,Elmore,Alabama,494.0,216.0,299.4
26,Escambia,Alabama,458.0,0.0,137.4
27,Etowah,Alabama,421.0,168.0,243.89999999999998
28,Fayette,Alabama,0.0,0.0,
29,Franklin,Alabama,271.0,64.0,126.1
30,Geneva,Alabama,378.0,214.0,263.2
31,Greene,Alabama,0.0,0.0,
32,Hale,Alabama,826.0,431.0,549.5
33,Henry,Alabama,690.0,0.0,207.0
34,Houston,Alabama,758.0,0.0,227.4
35,Jackson,Alabama,249.0,0.0,74.7
36,Jefferson,Alabama,1124.0,675.0,809.6999999999999
37,Lamar,Alabama,455.0,139.0,233.8
38,Lauderdale,Alabama,207.0,96.0,129.29999999999998
39,Lawrence,Alabama,0.0,80.0,56.0
40,Lee,Alabama,363.0,217.0,260.79999999999995
41,Limestone,Alabama,174.0,123.0,138.29999999999998
42,Lowndes,Alabama,1338.0,0.0,401.4
43,Macon,Alabama,628.0,761.0,721.0999999999999
44,Madison,Alabama,392.0,188.0,249.2
45,Marengo,Alabama,342.0,156.0,211.79999999999998
46,Marion,Alabama,273.0,0.0,81.89999999999999
47,Marshall,Alabama,305.0,0.0,91.5
48,Mobile,Alabama,959.0,534.0,661.5
49,Monroe,Alabama,427.0,173.0,249.2
50,Montgomery,Alabama,1360.0,736.0,923.1999999999999
51,Morgan,Alabama,260.0,0.0,78.0
52,Perry,Alabama,748.0,272.0,414.79999999999995
53,Pickens,Alabama,474.0,0.0,142.2
54,Pike,Alabama,780.0,384.0,502.79999999999995
55,Randolph,Alabama,0.0,60.0,42.0
56,Russell,Alabama,722.0,335.0,451.09999999999997
57,Shelby,Alabama,282.0,168.0,202.2
58,St. Clair,Alabama,264.0,0.0,79.2
59,Sumter,Alabama,965.0,0.0,289.5
60,Talladega,Alabama,523.0,172.0,277.3
61,Tallapoosa,Alabama,412.0,0.0,123.6
62,Tuscaloosa,Alabama,425.0,277.0,321.4
