,state,code,fips,region,STATEFP
0,Alabama,AL,1,South,01
1,Alaska,AK,2,West,02
2,Arizona,AZ,4,West,04
3,Arkansas,AR,5,South,05
4,California,CA,6,West,06
5,Colorado,CO,8,West,08
6,Connecticut,CT,9,Northeast,09
7,Delaware,DE,10,South,10
8,District of Columbia,DC,11,South,11
9,Florida,FL,12,South,12
10,Georgia,GA,13,South,13
11,Hawaii,HI,15,West,15
12,Idaho,ID,16,West,16
13,Illinois,IL,17,Midwest,17
14,Indiana,IN,18,Midwest,18
15,Iowa,IA,19,Midwest,19
16,Kansas,KS,20,Midwest,20
17,Kentucky,KY,21,South,21
18,Louisiana,LA,22,South,22
19,Maine,ME,23,Northeast,23
20,Maryland,MD,24,South,24
21,Massachusetts,MA,25,Northeast,25
22,Michigan,MI,26,Midwest,26
23,Minnesota,MN,27,Midwest,27
24,Mississippi,MS,28,South,28
25,Missouri,MO,29,Midwest,29
26,Montana,MT,30,West,30
27,Nebraska,NE,31,Midwest,31
28,Nevada,NV,32,West,32
29,New Hampshire,NH,33,Northeast,33
30,New Jersey,NJ,34,Northeast,34
31,New Mexico,NM,35,West,35
32,New York,NY,36,Northeast,36
33,North Carolina,NC,37,South,37
34,North Dakota,ND,38,Midwest,38
35,Ohio,OH,39,Midwest,39
36,Oklahoma,OK,40,South,40
37,Oregon,OR,41,West,41
38,Pennsylvania,PA,42,Northeast,42
39,Puerto Rico,PR,72,,72
40,Rhode Island,RI,44,Northeast,44
41,South Carolina,SC,45,South,45
42,South Dakota,SD,46,Midwest,46
43,Tennessee,TN,47,South,47
44,Texas,TX,48,South,48
45,Utah,UT,49,West,49
46,Vermont,VT,50,Northeast,50
47,Virginia,VA,51,South,51
48,Virgin Islands,VI,78,,78
49,Washington,WA,53,West,53
50,West Virginia,WV,54,South,54
51,Wisconsin,WI,55,Midwest,55
52,Wyoming,WY,56,West,56
